RecID,Release year,Rank,Title,Studio,Clean release date,Tickets sold,Bechdel Test Result,Executive Producer 1,Executive Producer 2,Executive Producer 3,Executive Producer 4,Executive Producer 5,Executive Producer 6,Executive Producer 7,Executive Producer 8,Executive Producer 9,Director 1,Director 2,Director 3
1,2000,1,How the Grinch Stole Christmas,Uni.,11/17/2000,48245794,No Data,,,,,,,,,,,,
2,2000,2,Cast Away,Fox,12/22/2000,43345481,Fail,,,,,,,,,,,,
3,2000,3,Mission: Impossible II,Par.,5/24/2000,39964729,Fail,,,,,,,,,,,,
4,2000,4,Gladiator,DW,5/5/2000,34824755,Fail,,,,,,,,,,,,
5,2000,5,What Women Want,Par.,12/15/2000,33916829,Fail,,,,,,,,,,,,
6,2000,6,The Perfect Storm,WB,6/30/2000,33880972,No Data,,,,,,,,,,,,
7,2000,7,Meet the Parents,Uni.,10/6/2000,30843052,Fail,,,,,,,,,,,,
8,2000,8,X-Men,Fox,7/14/2000,29183621,Fail,,,,,,,,,,,,
9,2000,9,Scary Movie,Mira.,7/7/2000,29131683,Pass,Brad Grey,Cary Granat,Bob Weinstein,Harvey Weinstein,,,,,,Keenen Ivory Wayans,,
10,2000,10,What Lies Beneath,DW,7/21/2000,28843108,Pass,Mark Johnson,Joan Bradshaw,,,,,,,,Robert Zemeckis,,
11,2000,11,Dinosaur,BV,5/19/2000,25556227,Pass,Pam Marsden,Baker Bloodworth,,,,,,,,Eric Leighton,Ralph Zondag,
12,2000,12,"Crouching Tiger, Hidden Dragon",SPC,12/8/2000,23762314,Pass,David Linde,James Schamus,,,,,,,,Ang Lee,,
13,2000,13,Erin Brockovich,Uni.,3/17/2000,23301523,Pass,Carla Santos ,John Hardy,,,,,,,,Steven Soderbergh,,
14,2000,14,Charlie's Angels,Sony,11/3/2000,23247783,Pass,Joseph M. Caracciolo,Aaron Spelling,Jenno Topping,Betty Thomas,,,,,,McG,,
15,2000,15,Traffic,USA,12/27/2000,23027037,No Data,,,,,,,,,,,,
16,2000,16,The Nutty Professor II: The Klumps,Uni.,7/28/2000,22877531,No Data,,,,,,,,,,,,
17,2000,17,Big Momma's House,Fox,6/2/2000,21810657,No Data,,,,,,,,,,,,
18,2000,18,Remember the Titans,BV,9/29/2000,21457283,Fail,,,,,,,,,,,,
19,2000,19,The Patriot,Sony,6/28/2000,21026038,Fail,,,,,,,,,,,,
20,2000,20,Chicken Run,DW,6/23/2000,19820884,Pass,Jake Eberts,Jeffery Katzenberg,Michael Rose,,,,,,,Peter Lod,Nick Parl,
21,2000,21,Miss Congeniality,WB,12/22/2000,19815894,Pass,Bruce Berman,Marc Lawrence,Ginger Sledge,,,,,,,Donald Petrie,,
22,2000,22,Gone in 60 Seconds,BV,6/9/2000,18858734,Fail,,,,,,,,,,,,
23,2000,23,Unbreakable,BV,11/22/2000,17627336,Fail,,,,,,,,,,,,
24,2000,24,"Me, Myself and Irene",Fox,6/23/2000,16803525,No Data,,,,,,,,,,,,
25,2000,25,Space Cowboys,WB,8/4/2000,16783817,Fail,,,,,,,,,,,,
26,2001,1,Harry Potter and the Sorcerer's Stone,WB,11/16/2001,56108755,Pass,Chris Columbus,Michael Barnathan,Mark Radcliffe,Duncan Henderson,,,,,,Chris Columbus,,
27,2001,2,The Lord of the Rings: The Fellowship of the Ring,NL,12/19/2001,55364685,Fail,,,,,,,,,,,,
28,2001,3,Shrek,DW,5/16/2001,47290638,Fail,,,,,,,,,,,,
29,2001,4,"Monsters, Inc.",BV,11/2/2001,45207288,Fail,,,,,,,,,,,,
30,2001,5,Rush Hour 2,NL,8/3/2001,39958355,Pass,Andrew Z. Davis,Michael De Luca,Toby Emmerich,,,,,,,Brett Ratner,,
